,Popularity_Hit@10,Popularity_NDCG@10,CBF_Hit@10,CBF_NDCG@10,SVD_Hit@10,SVD_NDCG@10
mean,0.470728476821192,0.2589993083846104,0.2463907284768212,0.12491619515234294,0.26642384105960265,0.14003095869942572
std,0.0025119773609311546,0.001386299427185511,0.0022591907421742542,0.001439866581306183,0.0017808598423211803,0.0011579450989357392
